[0, 36]
  k  
 [1, 99.99999999972222, {'Accuracy': 99.99999999972222, 'Precision': 99.99999999962964, 'Specificity': 99.99999999888888, 'Recall': 99.99999999962964, 'F1': 99.99999999957964, 'Miss_Rate': 0.0, 'Accuracy_Balance': 99.99999999925926, 'Mathew_Correlation': 0.9999999999999992, 'Matrix': (27, 0, 0, 9)}]
 [3, 86.1111111108719, {'Accuracy': 86.1111111108719, 'Precision': 92.30769230733729, 'Specificity': 77.77777777691358, 'Recall': 88.88888888855968, 'F1': 90.56603773545734, 'Miss_Rate': 0.1111111111106996, 'Accuracy_Balance': 83.33333333273663, 'Mathew_Correlation': 0.644503386635489, 'Matrix': (24, 2, 3, 7)}]
 [5, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 86.20689655142688, 'Specificity': 55.55555555493827, 'Recall': 92.59259259224967, 'F1': 89.28571428534548, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 74.07407407359398, 'Mathew_Correlation': 0.5267865840075195, 'Matrix': (25, 4, 2, 5)}]
 [7, 86.1111111108719, {'Accuracy': 86.1111111108719, 'Precision': 84.37499999973632, 'Specificity': 44.444444443950616, 'Recall': 99.99999999962964, 'F1': 91.52542372845365, 'Miss_Rate': 0.0, 'Accuracy_Balance': 72.22222222179013, 'Mathew_Correlation': 0.6123724356957936, 'Matrix': (27, 5, 0, 4)}]
 [9, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 80.64516129006243, 'Specificity': 33.33333333296296, 'Recall': 92.59259259224967, 'F1': 86.20689655137711, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 62.96296296260631, 'Mathew_Correlation': 0.3246172270321174, 'Matrix': (25, 6, 2, 3)}]
 [11, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 80.64516129006243, 'Specificity': 33.33333333296296, 'Recall': 92.59259259224967, 'F1': 86.20689655137711, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 62.96296296260631, 'Mathew_Correlation': 0.3246172270321174, 'Matrix': (25, 6, 2, 3)}]
 [13, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 81.2499999997461, 'Specificity': 33.33333333296296, 'Recall': 96.29629629593965, 'F1': 88.13559321999058, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 64.81481481445131, 'Mathew_Correlation': 0.40824829046386235, 'Matrix': (26, 6, 1, 3)}]
 [15, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 83.33333333305556, 'Specificity': 44.444444443950616, 'Recall': 92.59259259224967, 'F1': 87.7192982452564, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 68.51851851810014, 'Mathew_Correlation': 0.43033148291193474, 'Matrix': (25, 5, 2, 4)}]
 [17, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 83.33333333305556, 'Specificity': 44.444444443950616, 'Recall': 92.59259259224967, 'F1': 87.7192982452564, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 68.51851851810014, 'Mathew_Correlation': 0.43033148291193474, 'Matrix': (25, 5, 2, 4)}]
 [19, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 83.33333333305556, 'Specificity': 44.444444443950616, 'Recall': 92.59259259224967, 'F1': 87.7192982452564, 'Miss_Rate': 0.07407407407379973, 'Accuracy_Balance': 68.51851851810014, 'Mathew_Correlation': 0.43033148291193474, 'Matrix': (25, 5, 2, 4)}]
[37, 73]
